LIMIT_BAL,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,SEX,EDUCATION,MARRIAGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,IS_MALE,EDUCATION_1,EDUCATION_2,EDUCATION_3,EDUCATION_4,EDUCATION_5,EDUCATION_6,MARRIAGE_1,MARRIAGE_2,MARRIAGE_3,PAY_1_-1,PAY_1_0,PAY_1_1,PAY_1_2,PAY_1_3,PAY_2_-1,PAY_2_0,PAY_2_1,PAY_2_2,PAY_2_3,PAY_3_-1,PAY_3_0,PAY_3_1,PAY_3_2,PAY_3_3,PAY_4_-1,PAY_4_0,PAY_4_2,PAY_4_3,PAY_5_-1,PAY_5_0,PAY_5_2,PAY_5_3,PAY_6_-1,PAY_6_0,PAY_6_2,PAY_6_3,NEXT_MONTH_DEFAULT
1.47425110809154,-0.043067353066074725,-0.6874358557955076,-0.686563940377759,-0.681499220586031,-0.6702424994220737,-0.6609888012776142,-0.6301068102538473,-0.37373096815788215,-0.2690980642822271,-0.29067349960649264,-0.3260178358070754,-0.235802597948724,0.4510211963959361,2,1,2,1,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0.013972560002243896,-0.8043589476684041,-0.6567292087328938,-0.686563940377759,-0.681499220586031,-0.6702424994220737,-0.6609888012776142,-0.6509177967520541,-0.37373096815788215,-0.2690980642822271,-0.29067349960649264,-0.3260178358070754,-0.3240119293159266,-0.2825741729559627,2,1,2,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
-0.90830862826468,-0.3693351793242159,-0.4131854453780231,-0.5353496054293202,-0.681499220586031,-0.6582995921760398,-0.647997665860654,-0.2044869487071883,-0.2780577661954246,-0.2690980642822271,-0.24873270350807813,-0.3248802961961783,1.5119069240191678,-0.2336063652012027,1,1,2,0,0,0,-1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
-0.21659773706448707,0.9357361257083489,0.43897741347396896,0.4988489327550615,0.5707728807206023,0.7066963163069508,0.8204921041783043,0.8936863557259632,-0.16719618915175483,-0.12604711207509192,-0.06796085520229916,-0.09630593063154663,-0.0966704883284745,-0.09534431977599796,1,2,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
0.7056834512024368,2.5670752569990545,-0.6616823244112545,-0.6952958788574672,-0.6219269157011433,-0.6580690341210972,-0.6395444175943847,-0.6105860378944182,-0.3312170789796675,0.0660939544003973,-0.24792303562973037,-0.23273958771351497,-0.15256480699674216,-0.24489776557759443,1,1,1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
-0.90830862826468,-1.4568946001846865,0.1736586321368708,0.12481001140258678,-0.6757206781915366,-0.007910689719569946,-0.17210927654504693,-0.14067999493490857,-0.35006693733938626,-0.24210303841376993,2.6274235118174296,1.9763623366486114,-0.24702407488593656,-0.20480177240428504,2,2,2,-1,-1,-1,-1,-1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
-0.7545950968868593,-1.1306267739265452,-0.26906446492545055,-0.20694794467972213,-0.31879121043783987,-0.3486754949249379,-0.36235650932834906,-0.3029788799764793,-0.10250998456480623,-0.1298581745506388,-0.1287399239369385,-0.18382538444494062,-0.12159921241051001,-0.11838799401353209,2,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0.09082932569115422,-0.47809112141026294,-0.6752333012671472,-0.6739325716359803,-0.6685299234412805,-0.6560554937745973,-0.6458843537940867,-0.6383507759198036,-0.31223161012815215,-0.22826525204422465,-0.2408519361588265,-0.2604671157291313,-0.27074542486713277,-0.2367172612232698,1,1,2,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
-0.90830862826468,-1.1306267739265452,-0.15099073161164306,0.2405116778928824,-0.40365364475499116,-0.38313623887037923,-0.4483470134943314,-0.5094634102642427,-0.2720230993104787,-0.16021056498088726,0.017000294165660252,0.2427519696414638,-0.11719584804274305,-0.2336063652012027,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
-1.1388789253314109,-0.9131148897544512,-0.680186416945508,-0.6577360095117369,-0.6761673984265224,-0.6705499101619974,-0.6482106352937189,-0.6534312009185042,-0.29914519766978626,-0.033492737668953075,-0.29067349960649264,-0.2691408552622215,-0.33466523020568534,-0.291215550795038,1,6,2,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
